file,slice,sequence,site_row,site_col,volume_mm3,contrast,radius_px,fill,model,acceleration,mask_type,seed,lambda,kappa,mu_lambda,z_ref,residual_factual,residual_cf,t_R,t_N,psnr_factual,psnr_cf,ssim_factual,ssim_cf,metric_crop,metric_maxval,maxval_ratio_cf_over_factual,roi_cnr_cf,roi_cnr_ref,roi_ssim_cf,lesion_energy,pair_seconds,unit_seconds,sites_skipped_zero_gain,z_recon,erased,indeterminate,silently_erased,git_commit,thresholds_sha256,run_label
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,330,132,10.0,0.24,1.9440067164683283,0.2376008209016845,cg_sense_tuned,4,equispaced,0,0.0,0.6595711746852888,0.9999727463707472,3.7102334673940622,0.12797773801714174,0.12797397693260743,0.9830012694064694,0.2222430772645003,30.80500491343318,30.803803584862663,0.8661698824404881,0.86616726502007,320,0.0002916659201607415,1.0,0.8384321424396476,1.37502922759406,0.7686342171584511,1.3507916948504028e-09,3.4,1038.9,0,0.8044395095318718,True,False,True,c736b64,911de8625fec,classical_R468
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,330,132,10.0,1.0,1.9440067164683283,0.2376008209016845,cg_sense_tuned,4,equispaced,0,0.0,0.6595711746852889,0.9999727463707472,3.7102334673940622,0.12797773801714174,0.127961561263715,0.9830012694064684,0.22224307726450027,30.80500491343318,30.798643648585795,0.8661698824404881,0.8661669543971176,320,0.0002916659201607415,1.0,2.0187011884500663,2.8832936745584936,0.7749209929730145,2.345124470226394e-08,3.0,1038.9,0,2.198988503989127,False,True,False,c736b64,911de8625fec,classical_R468
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,330,132,10.0,1.5,1.9440067164683283,0.2376008209016845,cg_sense_tuned,4,equispaced,0,0.0,0.6595711746852888,0.9999727463707472,3.7102334673940622,0.12797773801714174,0.12795297423735935,0.9830012694064678,0.22224307726450016,30.80500491343318,30.79414071242998,0.8661698824404881,0.86615286345279,320,0.0002916659201607415,1.0099339669391976,2.7967036366563356,3.8755729159824632,0.7786323136529613,5.276530058009386e-08,3.2,1038.9,0,3.1167259142582124,False,False,False,c736b64,911de8625fec,classical_R468
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,389,175,27.0,0.24,2.7069839602882912,0.3308535951463467,cg_sense_tuned,4,equispaced,0,0.0,0.7076616237361268,0.9999878833965534,2.419656237221908,0.12797773801714174,0.12796751266503584,0.9837807575145574,0.16727865211894605,30.80500491343318,30.805816235253232,0.8661698824404881,0.8661777403364985,320,0.0002916659201607415,1.0,0.4029158842606231,0.1699221263316826,0.8170139486413366,4.6671755285710105e-09,4.9,1038.9,0,-0.4976598028809175,False,False,False,c736b64,911de8625fec,classical_R468
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,389,175,27.0,1.0,2.7069839602882912,0.3308535951463467,cg_sense_tuned,4,equispaced,0,0.0,0.7076616237361258,0.9999878833965534,2.419656237221908,0.12797773801714174,0.12793313320152142,0.9837807575145586,0.16727865211894602,30.80500491343318,30.80537409133447,0.8661698824404881,0.8662667512381805,320,0.0002916659201607415,1.0,1.7229239888200039,1.6133512132436678,0.8301157733452837,8.102735292658006e-08,3.8,1038.9,0,1.4927240182102588,False,False,False,c736b64,911de8625fec,classical_R468
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,389,175,27.0,1.5,2.7069839602882912,0.3308535951463467,cg_sense_tuned,4,equispaced,0,0.0,0.7076616237361264,0.9999878833965534,2.419656237221908,0.12797773801714174,0.12790886082469877,0.9837807575145574,0.16727865211894602,30.80500491343318,30.80260960737418,0.8661698824404881,0.86629172182392,320,0.0002916659201607415,1.0789965380015907,2.5763440342868176,2.5629756125278687,0.8396774129288184,1.823115440848051e-07,2.6,1038.9,0,2.8024343035000268,False,False,False,c736b64,911de8625fec,classical_R468
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,303,225,64.0,0.24,3.6093119470510544,0.4411381268617955,cg_sense_tuned,4,equispaced,0,0.0,0.7629036915877289,0.9999798608394638,5.006635927036735,0.12797773801714174,0.12794861489655407,0.9843842784944703,0.12427604348441104,30.80500491343318,30.804377374193663,0.8661698824404881,0.8662224511307499,320,0.0002916659201607415,1.0,1.0840715619448138,1.0802484809176744,0.8691096581911577,2.033802549296229e-08,2.5,1038.9,0,1.664443645059155,True,False,True,c736b64,911de8625fec,classical_R468
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,303,225,64.0,1.0,3.6093119470510544,0.4411381268617955,cg_sense_tuned,4,equispaced,0,0.0,0.7629036915877287,0.9999798608394638,5.006635927036735,0.12797773801714174,0.12784572227581803,0.9843842784944707,0.12427604348441118,30.80500491343318,30.79773408264471,0.8661698824404881,0.8662411361426031,320,0.0002916659201607415,1.1907572374362294,2.030939872535157,2.066613548102565,0.8873261423837809,3.530907203639287e-07,2.3,1038.9,0,4.70168820338747,False,False,False,c736b64,911de8625fec,classical_R468
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,303,225,64.0,1.5,3.6093119470510544,0.4411381268617955,cg_sense_tuned,4,equispaced,0,0.0,0.7629036915877282,0.9999798608394638,5.006635927036735,0.12797773801714174,0.1277692304687543,0.9843842784944703,0.12427604348441111,30.80500491343318,30.789528233207108,0.8661698824404881,0.8661847476173239,320,0.0002916659201607415,1.3554576914219956,2.6560531988417324,2.715537934408415,0.8951929878424171,7.944541208188394e-07,2.5,1038.9,0,6.700088293446727,False,False,False,c736b64,911de8625fec,classical_R468
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,322,157,100.0,0.24,4.188235507614343,0.5118954509306419,cg_sense_tuned,4,equispaced,0,0.0,0.7980137732247842,0.9999513962293852,6.606076085851337,0.12797773801714174,0.12795031644731683,0.9866304098344082,0.16398667939683234,30.80500491343318,30.800183229061204,0.8661698824404881,0.8661702994173461,320,0.0002916659201607415,1.0,0.4893144963817154,0.646138549430648,0.8452268537750413,2.2282857004087052e-08,3.0,1038.9,0,1.5624453415030004,True,False,True,c736b64,911de8625fec,classical_R468
